

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

    70.00000 -0.751900E+01  0.000000E+00 -0.755673E+01  0.000000E+00 -0.759745E+01    -34.567      0.000    -33.236      70
    71.00000 -0.820200E+01  0.000000E+00 -0.823973E+01  0.000000E+00 -0.762070E+01    -18.648      0.000    -33.473      71
    72.00000 -0.886300E+01  0.000000E+00 -0.890073E+01  0.000000E+00 -0.764331E+01    -18.692      0.000    -33.669      72
    73.00000 -0.895100E+01  0.000000E+00 -0.898873E+01  0.000000E+00 -0.766602E+01    -25.923      0.000    -33.754      73
    74.00000 -0.897050E+01  0.000000E+00 -0.900823E+01  0.000000E+00 -0.769188E+01    -29.644      0.000    -33.267      74
    75.00000 -0.897050E+01  0.000000E+00 -0.900823E+01  0.000000E+00 -0.775583E+01    -33.579      0.000    -29.578      75
    76.00000 -0.903641E+01  0.000000E+00 -0.907413E+01  0.000000E+00 -0.790546E+01    -29.535      0.000    -25.165      76
    77.00000 -0.903611E+01  0.000000E+00 -0.907383E+01  0.000000E+00 -0.813767E+01    -33.239      0.000    -23.168      77
    78.00000 -0.902851E+01  0.000000E+00 -0.906624E+01  0.000000E+00 -0.836216E+01    -36.401      0.000    -23.003      78
    79.00000 -0.929240E+01  0.000000E+00 -0.933013E+01  0.000000E+00 -0.855363E+01    -23.026      0.000    -23.259      79
    80.00000 -0.931580E+01  0.000000E+00 -0.935353E+01  0.000000E+00 -0.871626E+01    -28.670      0.000    -23.606      80
    81.00000 -0.960180E+01  0.000000E+00 -0.963953E+01  0.000000E+00 -0.886519E+01    -22.315      0.000    -24.031      81
    82.00000 -0.977780E+01  0.000000E+00 -0.981553E+01  0.000000E+00 -0.900655E+01    -23.359      0.000    -24.427      82
    83.00000 -0.972680E+01  0.000000E+00 -0.976453E+01  0.000000E+00 -0.913904E+01    -33.084      0.000    -24.850      83
    84.00000 -0.966350E+01  0.000000E+00 -0.970123E+01  0.000000E+00 -0.926179E+01    -44.492      0.000    -25.279      84
    85.00000 -0.966250E+01  0.000000E+00 -0.970023E+01  0.000000E+00 -0.937691E+01    -43.547      0.000    -25.669      85
    86.00000 -0.965560E+01  0.000000E+00 -0.969333E+01  0.000000E+00 -0.948490E+01    -44.637      0.000    -25.965      86
    87.00000 -0.104046E+02  0.000000E+00 -0.104423E+02  0.000000E+00 -0.959076E+01    -18.446      0.000    -26.236      87
    88.00000 -0.104911E+02  0.000000E+00 -0.105288E+02  0.000000E+00 -0.969278E+01    -25.830      0.000    -26.436      88
    89.00000 -0.104846E+02  0.000000E+00 -0.105223E+02  0.000000E+00 -0.979177E+01    -30.945      0.000    -26.585      89
    90.00000 -0.106606E+02  0.000000E+00 -0.106983E+02  0.000000E+00 -0.988905E+01    -24.668      0.000    -26.696      90
    91.00000 -0.107266E+02  0.000000E+00 -0.107643E+02  0.000000E+00 -0.998566E+01    -27.424      0.000    -26.742      91
    92.00000 -0.107075E+02  0.000000E+00 -0.107452E+02  0.000000E+00 -0.100842E+02    -33.477      0.000    -26.669      92
    93.00000 -0.107535E+02  0.000000E+00 -0.107912E+02  0.000000E+00 -0.101863E+02    -31.030      0.000    -26.496      93
    94.00000 -0.109872E+02  0.000000E+00 -0.110249E+02  0.000000E+00 -0.102935E+02    -23.206      0.000    -26.241      94
    95.00000 -0.112566E+02  0.000000E+00 -0.112943E+02  0.000000E+00 -0.104062E+02    -22.264      0.000    -25.977      95
    96.00000 -0.111364E+02  0.000000E+00 -0.111741E+02  0.000000E+00 -0.105226E+02    -37.119      0.000    -25.781      96
    97.00000 -0.109534E+02  0.000000E+00 -0.109911E+02  0.000000E+00 -0.106404E+02   -127.703      0.000    -25.686      97
    98.00000 -0.107657E+02  0.000000E+00 -0.108034E+02  0.000000E+00 -0.107581E+02  -2929.279      0.000    -25.671      98
    99.00000 -0.106368E+02  0.000000E+00 -0.107130E+02  0.000000E+00 -0.108748E+02 -10000.000      0.000    -25.713      99
   100.00000 -0.104789E+02  0.000000E+00 -0.106789E+02  0.000000E+00 -0.109893E+02 -10000.000      0.000    -25.811     100
   101.00000 -0.107442E+02  0.000000E+00 -0.109442E+02  0.000000E+00 -0.111011E+02    -27.147      0.000    -25.952     101
   102.00000 -0.106990E+02  0.000000E+00 -0.108990E+02  0.000000E+00 -0.112086E+02    -36.806      0.000    -26.154     102
   103.00000 -0.112889E+02  0.000000E+00 -0.114889E+02  0.000000E+00 -0.113111E+02    -19.469      0.000    -26.411     103
   104.00000 -0.121188E+02  0.000000E+00 -0.123188E+02  0.000000E+00 -0.114072E+02    -18.248      0.000    -26.727     104
   105.00000 -0.120254E+02  0.000000E+00 -0.122254E+02  0.000000E+00 -0.114952E+02    -32.759      0.000    -27.095     105
   106.00000 -0.123554E+02  0.000000E+00 -0.125554E+02  0.000000E+00 -0.115751E+02    -21.848      0.000    -27.486     106
   107.00000 -0.121985E+02  0.000000E+00 -0.123985E+02  0.000000E+00 -0.116479E+02    -42.119      0.000    -27.821     107
   108.00000 -0.119488E+02  0.000000E+00 -0.121488E+02  0.000000E+00 -0.117221E+02   -481.299      0.000    -27.884     108
   109.00000 -0.116909E+02  0.000000E+00 -0.119506E+02  0.000000E+00 -0.118048E+02 -10000.000      0.000    -27.589     109
   110.00000 -0.113863E+02  0.000000E+00 -0.119021E+02  0.000000E+00 -0.119010E+02 -10000.000      0.000    -26.949     110
   111.00000 -0.111799E+02  0.000000E+00 -0.118736E+02  0.000000E+00 -0.120129E+02 -10000.000      0.000    -26.246     111
   112.00000 -0.111483E+02  0.000000E+00 -0.118518E+02  0.000000E+00 -0.121325E+02 -10000.000      0.000    -25.742     112
   113.00000 -0.111601E+02  0.000000E+00 -0.118636E+02  0.000000E+00 -0.122549E+02   -134.902      0.000    -25.468     113
