"Index" "Sonde 50-04" "Sonde 50-05/47-01" "Sonde 50-07"
"2017-05-14 14:00:05" 103.143701815834 57.1340331664454 36.4642433516868
"2017-05-14 15:00:05" 89.5497821350756 56.4530848655225 32.277300074846
"2017-05-14 16:00:05" 82.0021210871409 54.9264565031346 30.7852162854245
"2017-05-14 17:00:05" 80.0650482898814 54.3752122088416 30.2040897376432
"2017-05-14 18:00:05" 78.9856702140922 53.6561947194914 29.5685466196624
"2017-05-14 19:00:05" 77.6672644847285 52.9165682213295 29.0356147107083
"2017-05-14 20:00:05" 77.1653820175964 52.2956377812965 28.6810245359866
"2017-05-14 21:00:05" 76.4069306520317 51.9293888023424 36.5288161357177
"2017-05-14 22:00:05" 76.0351972382839 51.5767362184854 36.3039988558468
"2017-05-14 23:00:05" 75.4725157072952 51.2166553990231 36.1934205306482
